'INSERT INTO `dd_results` (`RaceDate`, `Start`, `Place`, `id`, `Boat`) VALUES
'1997-07-15', 3, 3, 111, 'Checker Flag'
'1997-07-15', 4, 1, 188, 'Flirt - Lightning'
'1997-07-15', 4, 2, 556, 'Whip/Wavelength/US #121'
'1997-07-15', 4, 3, 620, 'Yellow Hull'
'1997-07-29', 1, 1, 322, 'Masked Man'
'1997-07-29', 1, 2, 463, 'Stars & Stripes'
'1997-07-29', 1, 3, 590, 'Wall St. Duck'
'1997-07-29', 2, 1, 26, 'Andiamo'
'1997-07-29', 2, 2, 228, 'High Frequency'
'1997-07-29', 2, 3, 693, 'Scat'
'1997-07-29', 3, 1, 599, 'Winkie'
'1997-07-29', 3, 2, 254, 'Ignitor'
'1997-07-29', 3, 3, 387, 'Polaris'
'1997-07-29', 4, 1, 574, 'Whip/Wavelength/US #121'
'1997-07-29', 4, 2, 434, 'SYC 3 Pat Kershaw'
'1997-07-29', 4, 3, 456, 'SYC #1'
'1997-08-05', 1, 1, 322, 'Masked Man'
'1997-08-05', 1, 2, 348, 'N/A'
'1997-08-05', 1, 3, 348, 'N/A'
'1997-08-05', 2, 1, 348, 'N/A'
'1997-08-05', 2, 2, 348, 'N/A'
'1997-08-05', 2, 3, 348, 'N/A'
'1997-08-05', 3, 1, 348, 'N/A'
'1997-08-05', 3, 2, 348, 'N/A'
'1997-08-05', 3, 3, 348, 'N/A'
'1997-08-05', 4, 1, 348, 'N/A'
'1997-08-05', 4, 2, 348, 'N/A'
'1997-08-05', 4, 3, 348, 'N/A'
'1997-08-12', 1, 1, 348, 'N/A'
'1997-08-12', 1, 2, 348, 'N/A'
'1997-08-12', 1, 3, 348, 'N/A'
'1997-08-12', 2, 1, 348, 'N/A'
'1997-08-12', 2, 2, 348, 'N/A'
'1997-08-12', 2, 3, 348, 'N/A'
'1997-08-12', 3, 1, 348, 'N/A'
'1997-08-12', 3, 2, 348, 'N/A'
'1997-08-12', 3, 3, 348, 'N/A'
'1997-08-12', 4, 1, 573, 'Whip/Wavelength/US #121'
'1997-08-12', 4, 2, 296, 'Lightning'
'1997-08-12', 4, 3, 428, 'SYC #1'
'1997-08-19', 1, 1, 590, 'Wall St. Duck'
'1997-08-19', 1, 2, 374, 'Pusillanimous'
'1997-08-19', 1, 3, 322, 'Masked Man'
'1997-08-19', 2, 1, 179, 'Fat Chance'
'1997-08-19', 2, 2, 228, 'High Frequency'
'1997-08-19', 2, 3, 417, 'Retsina'
'1997-08-19', 3, 1, 361, 'Opus'
'1997-08-19', 3, 2, 202, 'Fraid Knot'
'1997-08-19', 3, 3, 486, 'Santana 20 #24'
'1997-08-19', 4, 1, 296, 'Lightning'
'1997-08-19', 4, 2, 117, 'Corina 15'
'1997-08-19', 4, 3, 556, '505 #88441'
'1997-08-26', 1, 1, 452, 'Shoot the Moon'
'1997-08-26', 1, 2, 580, 'WhooDat'
'1997-08-26', 1, 3, 348, 'N/A'
'1997-08-26', 2, 1, 26, 'Andiamo'
'1997-08-26', 2, 2, 228, 'High Frequency'
'1997-08-26', 2, 3, 546, 'Thin Air'
'1997-08-26', 3, 1, 361, 'Opus'
'1997-08-26', 3, 2, 387, 'Polaris'
'1997-08-26', 3, 3, 486, 'Santana 20 #24'
'1997-08-26', 4, 1, 583, 'White Lido'
'1997-08-26', 4, 2, 296, 'Lightning'
'1997-08-26', 4, 3, 83, 'C15'
'1997-09-02', 1, 1, 173, 'Fast Company'
'1997-09-02', 1, 2, 452, 'Shoot the Moon'
'1997-09-02', 1, 3, 452, 'Shakedown'
'1997-09-02', 2, 1, 228, 'High Frequency'
'1997-09-02', 2, 2, 26, 'Andiamo'
'1997-09-02', 2, 3, 674, '505'
'1997-09-02', 3, 1, 486, 'Santana 20 #116'
'1997-09-02', 3, 2, 483, 'San Juan 21 #584'
'1997-09-02', 3, 3, 486, 'Santana 20 #24'
'1997-09-02', 4, 1, 348, 'N/A'
'1997-09-02', 4, 2, 348, 'N/A'
'1997-09-02', 4, 3, 348, 'N/A'
'1998-05-19', 1, 1, 594, 'Wildfire'
'1998-05-19', 1, 2, 32, 'Airtime'
'1998-05-19', 1, 3, 125, 'Deviant'
'1998-05-19', 2, 1, 26, 'Andiamo'
'1998-05-19', 2, 2, 693, 'Scat'
'1998-05-19', 2, 3, 580, 'WhooDat'
'1998-05-19', 3, 1, 142, 'Dire Straits'
'1998-05-19', 3, 2, 486, 'Santana 25 #57689'
'1998-05-19', 3, 3, 428, 'S20 #116'
'1998-05-19', 4, 1, 302, 'Lido'
'1998-05-19', 4, 2, 238, 'Holder #12'
'1998-05-19', 4, 3, 624, 'Zig Zag'
'1998-05-26', 1, 1, 587, 'Williwaw'
'1998-05-26', 1, 2, 590, 'Wall St. Duck'
'1998-05-26', 1, 3, 230, 'Highland Fling'
'1998-05-26', 2, 1, 26, 'Andiamo'
'1998-05-26', 2, 2, 693, 'Scat'
'1998-05-26', 2, 3, 390, 'Perfectly Strange'
'1998-05-26', 3, 1, 202, 'Fraid Knot'
'1998-05-26', 3, 2, 387, 'Polaris'
'1998-05-26', 3, 3, 235, 'Holo Holo'
'1998-05-26', 4, 1, 571, 'Whip/Wavelength/US #121'
'1998-05-26', 4, 2, 426, 'Round-up Goose'
'1998-05-26', 4, 3, 71, 'Brass Tacks'
'1998-06-02', 1, 1, 322, 'Masked Man'
'1998-06-02', 1, 2, 452, 'Shakedown'
'1998-06-02', 1, 3, 463, 'Stars & Stripes'
'1998-06-02', 2, 1, 228, 'High Frequency'
'1998-06-02', 2, 2, 26, 'Andiamo'
'1998-06-02', 2, 3, 693, 'Scat'
'1998-06-02', 3, 1, 142, 'Dire Straits'
'1998-06-02', 3, 2, 241, 'Hematoma'
'1998-06-02', 3, 3, 202, 'Fraid Knot'
'1998-06-02', 4, 1, 624, 'Zig Zag'
'1998-06-02', 4, 2, 238, 'Holder #12'
'1998-06-02', 4, 3, 571, 'Whip/Wavelength/US #121'
'1998-06-09', 1, 1, 322, 'Masked Man'
'1998-06-09', 1, 2, 452, 'Shoot the Moon'
'1998-06-09', 1, 3, 592, 'Wall St. Duck'
'1998-06-09', 2, 1, 26, 'Andiamo'
'1998-06-09', 2, 2, 47, 'Blue Hull #59594'
'1998-06-09', 2, 3, 276, 'Jammer'
'1998-06-09', 3, 1, 599, 'Winkie'
'1998-06-09', 3, 2, 387, 'Polaris'
'1998-06-09', 3, 3, 241, 'Hematoma'
'1998-06-09', 4, 1, 316, 'Magic Bus'
'1998-06-09', 4, 2, 426, 'Round-up Goose'
'1998-06-09', 4, 3, 576, 'Wacky'
'1998-06-16', 1, 1, 331, 'Midnight Special'
'1998-06-16', 1, 2, 452, 'Shoot the Moon'
'1998-06-16', 1, 3, 322, 'Masked Man'
'1998-06-16', 2, 1, 150, 'Dreams'
'1998-06-16', 2, 2, 390, 'Perfectly Strange'
'1998-06-16', 2, 3, 430, 'Savage Beagle'
'1998-06-16', 3, 1, 387, 'Polaris'
'1998-06-16', 3, 2, 244, 'Harbor 20'
'1998-06-16', 3, 3, 424, 'Ranger 22'
'1998-06-16', 4, 1, 576, 'Wacky'
'1998-06-16', 4, 2, 571, 'Whip/Wavelength/US #121'
'1998-06-16', 4, 3, 426, 'Round-up Goose'
'1998-06-23', 1, 1, 592, 'Wall St. Duck'
'1998-06-23', 1, 2, 452, 'Shakedown'
'1998-06-23', 1, 3, 452, 'Shoot the Moon'
'1998-06-23', 2, 1, 26, 'Andiamo'
'1998-06-23', 2, 2, 175, 'Foxy Lady'
'1998-06-23', 2, 3, 693, 'Scat'
'1998-06-23', 3, 1, 479, 'Sammie Joe'
'1998-06-23', 3, 2, 599, 'Winkie'
'1998-06-23', 3, 3, 550, 'Tart'
'1998-06-23', 4, 1, 571, 'Whip/Wavelength/US #121'
'1998-06-23', 4, 2, 300, 'Laser Speed'
'1998-06-23', 4, 3, 426, 'Round-up Goose'
'1998-06-30', 1, 1, 452, 'Shoot the Moon'
'1998-06-30', 1, 2, 592, 'Wall St. Duck'
'1998-06-30', 1, 3, 322, 'Masked Man'
'1998-06-30', 2, 1, 228, 'High Frequency'
'1998-06-30', 2, 2, 580, 'WhooDat'
'1998-06-30', 2, 3, 150, 'Dreams'
'1998-06-30', 3, 1, 550, 'Tart'
'1998-06-30', 3, 2, 474, 'Salmon Joe'
'1998-06-30', 3, 3, 236, 'Halcion'
'1998-06-30', 4, 1, 438, 'Splash Tango II'
'1998-06-30', 4, 2, 428, 'SYC #1'
'1998-06-30', 4, 3, 571, 'Whip/Wavelength/US #121'
'1998-07-07', 1, 1, 322, 'Masked Man'
'1998-07-07', 1, 2, 452, 'Shoot the Moon'
'1998-07-07', 1, 3, 467, 'Social Parasite'
'1998-07-07', 2, 1, 430, 'Savage Beagle'
'1998-07-07', 2, 2, 417, 'Retsina'
'1998-07-07', 2, 3, 693, 'Scat'
'1998-07-07', 3, 1, 142, 'Dire Straits'
'1998-07-07', 3, 2, 474, 'Salmon Joe'
'1998-07-07', 3, 3, 202, 'Fraid Knot'
'1998-07-07', 4, 1, 674, '505'
'1998-07-07', 4, 2, 571, 'Whip/Wavelength/US #121'
'1998-07-07', 4, 3, 624, 'Zig Zag'
'1998-07-21', 1, 1, 262, 'Incantation'
'1998-07-21', 1, 2, 452, 'Shakedown'
'1998-07-21', 1, 3, 463, 'Stars & Stripes'
'1998-07-21', 2, 1, 693, 'Scat'
'1998-07-21', 2, 2, 131, 'Deception'
'1998-07-21', 2, 3, 150, 'Dreams'
'1998-07-21', 3, 1, 202, 'Fraid Knot'
'1998-07-21', 3, 2, 244, 'Harbor 20 #26'
'1998-07-21', 3, 3, 474, 'Salmon Joe'
'1998-07-21', 4, 1, 683, '505 - 5939'
'1998-07-21', 4, 2, 357, 'No Idea'
'1998-07-21', 4, 3, 571, 'Whip/Wavelength/US #121'
'1998-07-28', 1, 1, 101, 'Chaulk'
'1998-07-28', 1, 2, 452, 'Shoot the Moon'
'1998-07-28', 1, 3, 322, 'Masked Man'
'1998-07-28', 2, 1, 26, 'Andiamo'
'1998-07-28', 2, 2, 159, 'Etchell'
'1998-07-28', 2, 3, 150, 'Dreams'
'1998-07-28', 3, 1, 202, 'Fraid Knot'
'1998-07-28', 3, 2, 210, 'Gaucho'
'1998-07-28', 3, 3, 361, 'Opus'
'1998-07-28', 4, 1, 532, 'Tidal Wave'
'1998-07-28', 4, 2, 624, 'Zig Zag'
'1998-07-28', 4, 3, 297, 'Lazer #5'
'1998-08-04', 1, 1, 412, 'Roxanne'
'1998-08-04', 1, 2, 101, 'Chaulk'
'1998-08-04', 1, 3, 262, 'Incantation'
'1998-08-04', 2, 1, 546, 'Thin Air'
'1998-08-04', 2, 2, 693, 'Scat'
'1998-08-04', 2, 3, 323, 'Mustang Sally'
'1998-08-04', 3, 1, 436, 'SYV Love'
'1998-08-04', 3, 2, 244, 'Harbor 20'
'1998-08-04', 3, 3, 202, 'Fraid Knot'
'1998-08-04', 4, 1, 571, 'Whip/Wavelength/US #121'
'1998-08-04', 4, 2, 416, 'Red Shift'
'1998-08-04', 4, 3, 624, 'Zig Zag'
'1998-08-11', 1, 1, 262, 'Incantation'
'1998-08-11', 1, 2, 322, 'Masked Man'
'1998-08-11', 1, 3, 378, 'Paddy Wagon'
'1998-08-11', 2, 1, 404, 'Rev'
'1998-08-11', 2, 2, 26, 'Andiamo'
'1998-08-11', 2, 3, 74, 'Bridget'
'1998-08-11', 3, 1, 202, 'Fraid Knot'
'1998-08-11', 3, 2, 474, 'Salmon Joe'
'1998-08-11', 3, 3, 428, 'S 115'
'1998-08-11', 4, 1, 532, 'Tidal Wave'
'1998-08-11', 4, 2, 680, '505 #5936'
'1998-08-11', 4, 3, 120, 'Coronada 15 US69'
'1998-08-18', 1, 1, 452, 'Shoot the Moon'
'1998-08-18', 1, 2, 304, 'Little Jazz'
'1998-08-18', 1, 3, 452, 'Shakedown'
'1998-08-18', 2, 1, 26, 'Andiamo'
'1998-08-18', 2, 2, 150, 'Dreams'
'1998-08-18', 2, 3, 131, 'Deception'
'1998-08-18', 3, 1, 474, 'Salmon Joe'
'1998-08-18', 3, 2, 599, 'Winkie'
'1998-08-18', 3, 3, 550, 'Tart'
'1998-08-18', 4, 1, 674, '505'
'1998-08-18', 4, 2, 571, 'Whip/Wavelength/US #121'
'1998-08-18', 4, 3, 302, 'Lido'
'1998-08-25', 1, 1, 378, 'Paddy Wagon'
'1998-08-25', 1, 2, 322, 'Masked Man'
'1998-08-25', 1, 3, 452, 'Shoot the Moon'
'1998-08-25', 2, 1, 26, 'Andiamo'
'1998-08-25', 2, 2, 109, 'Corvus - & Jammer'
'1998-08-25', 2, 3, 323, 'Mustang Sally'
'1998-08-25', 3, 1, 550, 'Tart'
'1998-08-25', 3, 2, 142, 'Dire Straits'
'1998-08-25', 3, 3, 244, 'Harbor 20'
'1998-08-25', 4, 1, 679, '505 #5543'
'1998-08-25', 4, 2, 681, '505 #5939'
'1998-08-25', 4, 3, 646, '#331'
'1998-09-01', 1, 1, 322, 'Masked Man'
'1998-09-01', 1, 2, 487, 'Scoundrel'
'1998-09-01', 1, 3, 463, 'Stars & Stripes'
'1998-09-01', 2, 1, 26, 'Andiamo'
'1998-09-01', 2, 2, 586, 'Water Torture'
'1998-09-01', 2, 3, 150, 'Dreams'
'1998-09-01', 3, 1, 176, 'Fossil Tech'
'1998-09-01', 3, 2, 474, 'Salmon Joe'
'1998-09-01', 3, 3, 244, 'Harbor 20'
'1998-09-01', 4, 1, 672, '420 #1514'
'1998-09-01', 4, 2, 532, 'Tidal Wave'
'1998-09-01', 4, 3, 669, '420 #1504'
'1998-11-15', 1, 1, 83, 'Chaak'
'1998-11-15', 1, 2, 480, 'Samish Spirit'
'1998-11-15', 1, 3, 357, 'Naiad'
'1998-11-15', 2, 1, 441, 'Seafire'
'1998-11-15', 2, 2, 246, 'Hurricane'
'1998-11-15', 2, 3, 606, 'Windmist II'
'1998-11-15', 3, 1, 538, 'Tempress'
'1998-11-15', 3, 2, 35, 'Airloom'
'1998-11-15', 3, 3, 567, 'Valella'
'1998-11-15', 4, 1, 348, 'N/A'
'1998-11-15', 4, 2, 348, 'N/A'
'1998-11-15', 4, 3, 348, 'N/A'
'1999-05-18', 1, 1, 3, 'Afterburner'
'1999-05-18', 1, 2, 452, 'Shoot the Moon'
'1999-05-18', 1, 3, 458, 'Shock Therapy'
'1999-05-18', 2, 1, 26, 'Andiamo'
'1999-05-18', 2, 2, 693, 'Scat'
'1999-05-18', 2, 3, 477, 'Shogun'
'1999-05-18', 3, 1, 175, 'Foxy Lady'
'1999-05-18', 3, 2, 27, 'American Pie'
'1999-05-18', 3, 3, 626, 'Zephyr'
'1999-05-18', 4, 1, 616, 'XTC'
'1999-05-18', 4, 2, 562, 'Uncas'
'1999-05-18', 4, 3, 194, 'Force 5'
'1999-05-25', 1, 1, 349, 'Neptune\'s Car'
'1999-05-25', 1, 2, 3, 'Afterburner'
'1999-05-25', 1, 3, 463, 'Stars & Stripes'
'1999-05-25', 2, 1, 26, 'Andiamo'
'1999-05-25', 2, 2, 417, 'Retsina'
'1999-05-25', 2, 3, 390, 'Perfectly Strange'
'1999-05-25', 3, 1, 175, 'Foxy Lady'
'1999-05-25', 3, 2, 27, 'American Pie'
'1999-05-25', 3, 3, 387, 'Polaris'
'1999-05-25', 4, 1, 616, 'XTC'
'1999-05-25', 4, 2, 571, 'Whip/Wavelength/US #121'
'1999-05-25', 4, 3, 622, 'Y Mep'
'1999-06-01', 1, 1, 3, 'Afterburner'
'1999-06-01', 1, 2, 349, 'Neptune\'s Car'
'1999-06-01', 1, 3, 452, 'Shoot the Moon'
'1999-06-01', 2, 1, 693, 'Scat'
'1999-06-01', 2, 2, 150, 'Dreams'
'1999-06-01', 2, 3, 228, 'High Frequency'
'1999-06-01', 3, 1, 27, 'American Pie'
'1999-06-01', 3, 2, 175, 'Foxy Lady'
'1999-06-01', 3, 3, 506, 'T-Bone'
'1999-06-01', 4, 1, 621, 'Y - Me'
'1999-06-01', 4, 2, 571, 'Whip/Wavelength/US #121'
'1999-06-01', 4, 3, 562, 'Uncas'
'1999-06-08', 1, 1, 349, 'Neptune\'s Car'
'1999-06-08', 1, 2, 3, 'Afterburner'
'1999-06-08', 1, 3, 452, 'Shoot the Moon'
'1999-06-08', 2, 1, 390, 'Perfectly Strange'
'1999-06-08', 2, 2, 317, 'Majic Pudding'
'1999-06-08', 2, 3, 228, 'High Frequency'
'1999-06-08', 3, 1, 404, 'Ruby\'s Yacht'
'1999-06-08', 3, 2, 550, 'Tart'
'1999-06-08', 3, 3, 486, 'Santana 20 #681'
'1999-06-08', 4, 1, 556, 'US #7795'
'1999-06-08', 4, 2, 674, '505'
'1999-06-08', 4, 3, 556, 'US #1015'
'1999-06-15', 1, 1, 349, 'Neptune\'s Car'
'1999-06-15', 1, 2, 584, 'White Hull Tri'
'1999-06-15', 1, 3, 3, 'Afterburner'
'1999-06-15', 2, 1, 228, 'High Frequency'
'1999-06-15', 2, 2, 390, 'Perfectly Strange'
'1999-06-15', 2, 3, 417, 'Retsina'
'1999-06-15', 3, 1, 405, 'Ruby\'s Yacht'
'1999-06-15', 3, 2, 550, 'Tart'
'1999-06-15', 3, 3, 387, 'Polaris'
'1999-06-15', 4, 1, 547, 'Tera 505'
'1999-06-15', 4, 2, 571, 'Whip/Wavelength/US #121'
'1999-06-15', 4, 3, 571, 'Why Be'
'1999-06-22', 1, 1, 144, 'Dragon Fly'
'1999-06-22', 1, 2, 349, 'Neptune\'s Car'
'1999-06-22', 1, 3, 3, 'Afterburner'
'1999-06-22', 2, 1, 390, 'Perfectly Strange'
'1999-06-22', 2, 2, 24, 'Amigos'
'1999-06-22', 2, 3, 693, 'Scat'
'1999-06-22', 3, 1, 624, 'Zoo'
'1999-06-22', 3, 2, 567, 'Vallahala'
'1999-06-22', 3, 3, 387, 'Polaris'
'1999-06-22', 4, 1, 556, 'US #1080'
'1999-06-22', 4, 2, 194, 'Force 5'
'1999-06-22', 4, 3, 571, 'Whip/Wavelength/US #121'
'1999-06-29', 1, 1, 349, 'Neptune\'s Car'
'1999-06-29', 1, 2, 3, 'Afterburner'
'1999-06-29', 1, 3, 144, 'Dragon Fly'
'1999-06-29', 2, 1, 78, 'Breathless Mahoney'
'1999-06-29', 2, 2, 694, 'Full Moon'
'1999-06-29', 2, 3, 477, 'Shogun'
'1999-06-29', 3, 1, 244, 'Harbor 20'
'1999-06-29', 3, 2, 175, 'Foxy Lady'
'1999-06-29', 3, 3, 516, 'Tekka Maki'
'1999-06-29', 4, 1, 265, 'International 14'
'1999-06-29', 4, 2, 571, 'Whip/Wavelength/US #121'
'1999-06-29', 4, 3, 658, '13 / 17'
'1999-07-06', 1, 1, 349, 'Neptune\'s Car'
'1999-07-06', 1, 2, 3, 'Afterburner'
'1999-07-06', 1, 3, 149, 'Drum'
'1999-07-06', 2, 1, 26, 'Andiamo'
'1999-07-06', 2, 2, 288, 'Krystal Ki'
'1999-07-06', 2, 3, 390, 'Perfectly Strange'
'1999-07-06', 3, 1, 53, 'Beluga'
'1999-07-06', 3, 2, 175, 'Foxy Lady'
'1999-07-06', 3, 3, 91, 'Catavinos'
'1999-07-06', 4, 1, 670, '420 #1509'
'1999-07-06', 4, 2, 671, '420 #1510'
'1999-07-06', 4, 3, 674, '505'
'1999-07-13', 1, 1, 349, 'Neptune\'s Car'
'1999-07-13', 1, 2, 463, 'Stars & Stripes'
'1999-07-13', 1, 3, 3, 'Afterburner'
'1999-07-13', 2, 1, 26, 'Andiamo'
'1999-07-13', 2, 2, 78, 'Breathless Mahoney'
'1999-07-13', 2, 3, 288, 'Krystal Ki'
'1999-07-13', 3, 1, 599, 'Winkie'
'1999-07-13', 3, 2, 610, 'Winter\'s Dream'
'1999-07-13', 3, 3, 175, 'Foxy Lady'
'1999-07-13', 4, 1, 556, '505 #6736'
'1999-07-13', 4, 2, 556, 'US #1080'
'1999-07-13', 4, 3, 556, '505 #7795'
'1999-07-27', 1, 1, 3, 'Afterburner'
'1999-07-27', 1, 2, 615, 'Work Release'
'1999-07-27', 1, 3, 313, 'Monopoly'
'1999-07-27', 2, 1, 390, 'Perfectly Strange'
'1999-07-27', 2, 2, 160, 'Etchells US #88'
'1999-07-27', 2, 3, 417, 'Retsina'
'1999-07-27', 3, 1, 207, 'Fraid Knot'
'1999-07-27', 3, 2, 486, 'Santana 20 #681'
'1999-07-27', 3, 3, 610, 'Winter\'s Dream'
'1999-07-27', 4, 1, 556, '505 #7795'
'1999-07-27', 4, 2, 547, 'Terra'
'1999-07-27', 4, 3, 641, '#140'
'1999-08-03', 1, 1, 167, '49er'
'1999-08-03', 1, 2, 3, 'Afterburner'
'1999-08-03', 1, 3, 289, 'Karleken'
'1999-08-03', 2, 1, 694, 'Full Moon'
'1999-08-03', 2, 2, 477, 'Shogun'
'1999-08-03', 2, 3, 693, 'Scat'
'1999-08-03', 3, 1, 405, 'Ruby\'s Yacht'
'1999-08-03', 3, 2, 175, 'Foxy Lady'
'1999-08-03', 3, 3, 486, 'Santana 20 #410'
'1999-08-03', 4, 1, 556, '505 #7795'
'1999-08-03', 4, 2, 571, 'Whip/Wavelength/US #121'
'1999-08-03', 4, 3, 556, '505 #7095'
'1999-08-10', 1, 1, 3, 'Afterburner'
'1999-08-10', 1, 2, 32, 'Airtime'
'1999-08-10', 1, 3, 479, 'Snook'
'1999-08-10', 2, 1, 150, 'Dreams'
'1999-08-10', 2, 2, 26, 'Andiamo'
'1999-08-10', 2, 3, 693, 'Scat'
'1999-08-10', 3, 1, 202, 'Fraid Knot'
'1999-08-10', 3, 2, 516, 'Tekka Maki'
'1999-08-10', 3, 3, 610, 'Winter\'s Dream'
'1999-08-10', 4, 1, 556, 'US #7795'
'1999-08-10', 4, 2, 638, '#1080'
'1999-08-10', 4, 3, 556, 'US #12'
'1999-08-17', 1, 1, 3, 'Afterburner'
'1999-08-17', 1, 2, 479, 'Snook'
'1999-08-17', 1, 3, 121, '38D'
'1999-08-17', 2, 1, 150, 'Dreams'
'1999-08-17', 2, 2, 417, 'Retsina'
'1999-08-17', 2, 3, 693, 'Scat'
'1999-08-17', 3, 1, 202, 'Fraid Knot'
'1999-08-17', 3, 2, 175, 'Foxy Lady'
